Layer,Concept Name,Rank
1,Achievement,200
1,Benevolence,956
1,Conformity,453
1,Hedonism,462
1,Power,277
1,Security,711
1,Self-direction,68
1,Stimulation,340
1,Tradition,224
1,Universalism,351
2,Achievement,200
2,Benevolence,965
2,Conformity,453
2,Hedonism,462
2,Power,277
2,Security,711
2,Self-direction,68
2,Stimulation,340
2,Tradition,224
2,Universalism,351
3,Achievement,200
3,Benevolence,969
3,Conformity,453
3,Hedonism,462
3,Power,277
3,Security,711
3,Self-direction,68
3,Stimulation,340
3,Tradition,224
3,Universalism,351
4,Achievement,200
4,Benevolence,973
4,Conformity,453
4,Hedonism,462
4,Power,277
4,Security,711
4,Self-direction,68
4,Stimulation,340
4,Tradition,224
4,Universalism,351
5,Achievement,200
5,Benevolence,973
5,Conformity,453
5,Hedonism,462
5,Power,277
5,Security,711
5,Self-direction,68
5,Stimulation,340
5,Tradition,224
5,Universalism,351
6,Achievement,200
6,Benevolence,973
6,Conformity,453
6,Hedonism,462
6,Power,277
6,Security,711
6,Self-direction,68
6,Stimulation,340
6,Tradition,224
6,Universalism,351
7,Achievement,200
7,Benevolence,972
7,Conformity,453
7,Hedonism,462
7,Power,277
7,Security,711
7,Self-direction,68
7,Stimulation,340
7,Tradition,224
7,Universalism,351
8,Achievement,200
8,Benevolence,973
8,Conformity,453
8,Hedonism,462
8,Power,277
8,Security,711
8,Self-direction,68
8,Stimulation,340
8,Tradition,224
8,Universalism,351
9,Achievement,200
9,Benevolence,972
9,Conformity,453
9,Hedonism,462
9,Power,277
9,Security,711
9,Self-direction,68
9,Stimulation,340
9,Tradition,224
9,Universalism,351
10,Achievement,200
10,Benevolence,973
10,Conformity,453
10,Hedonism,462
10,Power,277
10,Security,711
10,Self-direction,68
10,Stimulation,340
10,Tradition,224
10,Universalism,351
11,Achievement,200
11,Benevolence,973
11,Conformity,453
11,Hedonism,462
11,Power,277
11,Security,711
11,Self-direction,68
11,Stimulation,340
11,Tradition,224
11,Universalism,351
12,Achievement,200
12,Benevolence,974
12,Conformity,453
12,Hedonism,462
12,Power,277
12,Security,711
12,Self-direction,68
12,Stimulation,340
12,Tradition,224
12,Universalism,351
13,Achievement,200
13,Benevolence,976
13,Conformity,453
13,Hedonism,462
13,Power,277
13,Security,711
13,Self-direction,68
13,Stimulation,340
13,Tradition,224
13,Universalism,351
14,Achievement,200
14,Benevolence,975
14,Conformity,453
14,Hedonism,462
14,Power,277
14,Security,711
14,Self-direction,68
14,Stimulation,340
14,Tradition,224
14,Universalism,351
15,Achievement,200
15,Benevolence,976
15,Conformity,453
15,Hedonism,462
15,Power,277
15,Security,711
15,Self-direction,68
15,Stimulation,340
15,Tradition,224
15,Universalism,351
16,Achievement,200
16,Benevolence,975
16,Conformity,453
16,Hedonism,462
16,Power,277
16,Security,711
16,Self-direction,68
16,Stimulation,340
16,Tradition,224
16,Universalism,351
17,Achievement,200
17,Benevolence,974
17,Conformity,453
17,Hedonism,462
17,Power,277
17,Security,711
17,Self-direction,68
17,Stimulation,340
17,Tradition,224
17,Universalism,351
18,Achievement,200
18,Benevolence,973
18,Conformity,453
18,Hedonism,462
18,Power,277
18,Security,711
18,Self-direction,68
18,Stimulation,340
18,Tradition,224
18,Universalism,351
19,Achievement,200
19,Benevolence,973
19,Conformity,453
19,Hedonism,462
19,Power,277
19,Security,711
19,Self-direction,68
19,Stimulation,340
19,Tradition,224
19,Universalism,351
20,Achievement,200
20,Benevolence,974
20,Conformity,453
20,Hedonism,462
20,Power,277
20,Security,711
20,Self-direction,68
20,Stimulation,340
20,Tradition,224
20,Universalism,351
21,Achievement,200
21,Benevolence,975
21,Conformity,453
21,Hedonism,462
21,Power,277
21,Security,711
21,Self-direction,68
21,Stimulation,340
21,Tradition,224
21,Universalism,351
22,Achievement,200
22,Benevolence,976
22,Conformity,453
22,Hedonism,462
22,Power,277
22,Security,711
22,Self-direction,68
22,Stimulation,340
22,Tradition,224
22,Universalism,351
23,Achievement,200
23,Benevolence,976
23,Conformity,453
23,Hedonism,462
23,Power,277
23,Security,711
23,Self-direction,68
23,Stimulation,340
23,Tradition,224
23,Universalism,351
24,Achievement,200
24,Benevolence,976
24,Conformity,453
24,Hedonism,462
24,Power,277
24,Security,711
24,Self-direction,68
24,Stimulation,340
24,Tradition,224
24,Universalism,351
25,Achievement,200
25,Benevolence,976
25,Conformity,453
25,Hedonism,462
25,Power,277
25,Security,711
25,Self-direction,68
25,Stimulation,340
25,Tradition,224
25,Universalism,351
26,Achievement,200
26,Benevolence,976
26,Conformity,453
26,Hedonism,462
26,Power,277
26,Security,711
26,Self-direction,68
26,Stimulation,340
26,Tradition,224
26,Universalism,351
27,Achievement,200
27,Benevolence,977
27,Conformity,453
27,Hedonism,462
27,Power,277
27,Security,711
27,Self-direction,68
27,Stimulation,340
27,Tradition,224
27,Universalism,351
