Layer,Concept Name,Rank
1,Achievement,406
1,Benevolence,1000
1,Conformity,629
1,Hedonism,817
1,Power,488
1,Security,976
1,Self-direction,238
1,Stimulation,706
1,Tradition,413
1,Universalism,592
2,Achievement,406
2,Benevolence,1000
2,Conformity,629
2,Hedonism,817
2,Power,488
2,Security,976
2,Self-direction,238
2,Stimulation,706
2,Tradition,413
2,Universalism,592
3,Achievement,406
3,Benevolence,1000
3,Conformity,629
3,Hedonism,817
3,Power,488
3,Security,976
3,Self-direction,238
3,Stimulation,706
3,Tradition,413
3,Universalism,592
4,Achievement,406
4,Benevolence,1000
4,Conformity,629
4,Hedonism,817
4,Power,488
4,Security,976
4,Self-direction,238
4,Stimulation,706
4,Tradition,413
4,Universalism,592
5,Achievement,406
5,Benevolence,1000
5,Conformity,629
5,Hedonism,817
5,Power,488
5,Security,976
5,Self-direction,238
5,Stimulation,706
5,Tradition,413
5,Universalism,592
6,Achievement,406
6,Benevolence,1000
6,Conformity,629
6,Hedonism,817
6,Power,488
6,Security,976
6,Self-direction,238
6,Stimulation,706
6,Tradition,413
6,Universalism,592
7,Achievement,406
7,Benevolence,1000
7,Conformity,629
7,Hedonism,817
7,Power,488
7,Security,976
7,Self-direction,238
7,Stimulation,706
7,Tradition,413
7,Universalism,592
8,Achievement,406
8,Benevolence,1000
8,Conformity,629
8,Hedonism,817
8,Power,488
8,Security,976
8,Self-direction,238
8,Stimulation,706
8,Tradition,413
8,Universalism,592
9,Achievement,406
9,Benevolence,1000
9,Conformity,629
9,Hedonism,817
9,Power,488
9,Security,976
9,Self-direction,238
9,Stimulation,706
9,Tradition,413
9,Universalism,592
10,Achievement,406
10,Benevolence,1000
10,Conformity,629
10,Hedonism,817
10,Power,488
10,Security,976
10,Self-direction,238
10,Stimulation,706
10,Tradition,413
10,Universalism,592
11,Achievement,406
11,Benevolence,1000
11,Conformity,629
11,Hedonism,817
11,Power,488
11,Security,976
11,Self-direction,238
11,Stimulation,706
11,Tradition,413
11,Universalism,592
12,Achievement,406
12,Benevolence,1000
12,Conformity,629
12,Hedonism,817
12,Power,488
12,Security,976
12,Self-direction,238
12,Stimulation,706
12,Tradition,413
12,Universalism,592
13,Achievement,406
13,Benevolence,1000
13,Conformity,629
13,Hedonism,817
13,Power,488
13,Security,976
13,Self-direction,238
13,Stimulation,706
13,Tradition,413
13,Universalism,592
14,Achievement,406
14,Benevolence,1000
14,Conformity,629
14,Hedonism,817
14,Power,488
14,Security,976
14,Self-direction,238
14,Stimulation,706
14,Tradition,413
14,Universalism,592
15,Achievement,406
15,Benevolence,1000
15,Conformity,629
15,Hedonism,817
15,Power,488
15,Security,976
15,Self-direction,238
15,Stimulation,706
15,Tradition,413
15,Universalism,592
16,Achievement,406
16,Benevolence,1000
16,Conformity,629
16,Hedonism,817
16,Power,488
16,Security,976
16,Self-direction,238
16,Stimulation,706
16,Tradition,413
16,Universalism,592
17,Achievement,406
17,Benevolence,1000
17,Conformity,629
17,Hedonism,817
17,Power,488
17,Security,976
17,Self-direction,238
17,Stimulation,706
17,Tradition,413
17,Universalism,592
18,Achievement,406
18,Benevolence,1000
18,Conformity,629
18,Hedonism,817
18,Power,488
18,Security,976
18,Self-direction,238
18,Stimulation,706
18,Tradition,413
18,Universalism,592
19,Achievement,406
19,Benevolence,1000
19,Conformity,629
19,Hedonism,817
19,Power,488
19,Security,976
19,Self-direction,238
19,Stimulation,706
19,Tradition,413
19,Universalism,592
20,Achievement,406
20,Benevolence,1000
20,Conformity,629
20,Hedonism,817
20,Power,488
20,Security,976
20,Self-direction,238
20,Stimulation,706
20,Tradition,413
20,Universalism,592
21,Achievement,406
21,Benevolence,1000
21,Conformity,629
21,Hedonism,817
21,Power,488
21,Security,976
21,Self-direction,238
21,Stimulation,706
21,Tradition,413
21,Universalism,592
22,Achievement,406
22,Benevolence,1000
22,Conformity,629
22,Hedonism,817
22,Power,488
22,Security,976
22,Self-direction,238
22,Stimulation,706
22,Tradition,413
22,Universalism,592
23,Achievement,406
23,Benevolence,1000
23,Conformity,629
23,Hedonism,817
23,Power,488
23,Security,974
23,Self-direction,238
23,Stimulation,706
23,Tradition,413
23,Universalism,592
24,Achievement,406
24,Benevolence,1000
24,Conformity,629
24,Hedonism,817
24,Power,488
24,Security,974
24,Self-direction,238
24,Stimulation,706
24,Tradition,413
24,Universalism,592
25,Achievement,406
25,Benevolence,1000
25,Conformity,629
25,Hedonism,817
25,Power,488
25,Security,975
25,Self-direction,238
25,Stimulation,706
25,Tradition,413
25,Universalism,592
26,Achievement,406
26,Benevolence,1000
26,Conformity,629
26,Hedonism,817
26,Power,488
26,Security,974
26,Self-direction,238
26,Stimulation,706
26,Tradition,413
26,Universalism,592
27,Achievement,406
27,Benevolence,1000
27,Conformity,629
27,Hedonism,817
27,Power,488
27,Security,974
27,Self-direction,238
27,Stimulation,706
27,Tradition,413
27,Universalism,592
